55 Cnc f, 262.51, 261.49, 48.626, 40.998, 0.38, 0.22999999999999998, 12.5979, 12.5732
55 Cnc f, 261.8, 259.59999999999997, -1, -1, 0.2, -0.2, 12.5979, 12.5732
6 Lyn b, 918.0, 880.0, -1, -1, 0.186, 0.08200000000000002, 54.9333, 54.3865
6 Lyn b, 891.044, 866.304, -1, -1, -1, -1, 54.9333, 54.3865
6 Lyn b, 921.78, 916.15, -1, -1, 0.066, 0.010000000000000002, 54.9333, 54.3865
6 Lyn b, 942.9, 925.6999999999999, -1, -1, 0.10899999999999999, 0.037, 54.9333, 54.3865
61 Vir b, 4.2150300000000005, 4.21471, -1, -1, 0.19, 0.028999999999999998, 8.52069, 8.48602
61 Vir b, 4.2156, 4.2143999999999995, -1, -1, 0.22999999999999998, 0.009999999999999995, 8.52069, 8.48602
61 Vir c, 38.104, 38.0874, -1, -1, 0.135, 0.021000000000000005, 8.52069, 8.48602
61 Vir c, 38.055, 37.987, -1, -1, 0.2, 0.08000000000000002, 8.52069, 8.48602
61 Vir d, 123.56, 122.46000000000001, -1, -1, 0.43999999999999995, 0.26, 8.52069, 8.48602
7 CMa b, -1, -1, -1, -1, -1, -1, 19.974899999999998, 19.6453
7 CMa b, 780.0, 746.0, -1, -1, 0.2, 0.08000000000000002, 19.974899999999998, 19.6453
7 CMa b, 749.9, 734.1, -1, -1, 0.09, 0.03, 19.974899999999998, 19.6453
7 CMa b, 803.4, 788.6, -1, -1, 0.29000000000000004, 0.15, 19.974899999999998, 19.6453
7 CMa c, 997.5, 943.6, -1, -1, 0.13, 0.04, 19.974899999999998, 19.6453
7 CMa c, -1, -1, -1, -1, -1, -1, 19.974899999999998, 19.6453
70 Vir b, 116.6928, 116.684, 2574.3199999999997, 2186.58, 0.4042, 0.3972, 17.9571, 17.845399999999998
70 Vir b, 116.6934, 116.68260000000001, -1, -1, 0.4007, 0.3969, 17.9571, 17.845399999999998
70 Vir b, 116.694, 116.6912, -1, -1, 0.401, 0.397, 17.9571, 17.845399999999998
70 Vir b, 116.69427999999999, 116.69238, -1, -1, 0.39999999999999997, 0.3977, 17.9571, 17.845399999999998
70 Vir b, 116.6928, 116.684, -1, -1, 0.4, 0.4, 17.9571, 17.845399999999998
70 Vir b, 116.69999999999999, 116.678, -1, -1, 0.402, 0.392, 17.9571, 17.845399999999998
75 Cet b, 697.95, 694.93, -1, -1, 0.119, 0.051, 83.68495, 82.23764999999999
75 Cet b, 695.5, 688.3, -1, -1, 0.165, 0.069, 83.68495, 82.23764999999999
75 Cet c, 2097.6, 2011.1499999999999, -1, -1, 0.214, 0.02, 83.68495, 82.23764999999999
8 UMi b, 97.9, 88.9, -1, -1, 0.15, -0.03, 163.203, 161.906
8 UMi b, 97.9, 88.9, -1, -1, 0.24, -0.12, 163.203, 161.906
81 Cet b, 961.5, 943.9000000000001, -1, -1, 0.235, 0.177, 102.482, 100.03800000000001
81 Cet b, -1, -1, -1, -1, -1, -1, 102.482, 100.03800000000001
81 Cet b, 1007.4100000000001, 1003.63, -1, -1, 0.052, 0.011999999999999997, 102.482, 100.03800000000001
91 Aqr b, 181.5, 181.3, -1, -1, 0.053, 0.0010000000000000009, 44.54365, 43.51715
AB Aur b, -1, -1, -1, -1, 0.6000000000000001, 0.19000000000000003, 163.65300000000002, 160.62900000000002
AB Pic b, -1, -1, 4449.4, 4131.6, -1, -1, 50.121, 49.974199999999996
AF Lep b, 8720.0, 6220.0, 1691.48278, 1632.68453, 0.64, 0.33999999999999997, 26.8753, 26.837600000000002
AF Lep b, 9830.0, 6230.0, 1239.53078, 826.3538599999999, 0.51, 0.09, 26.8753, 26.837600000000002
AF Lep b, 12710.0, 6580.0, 2288.36453, 985.2680600000001, 0.73, 0.09, 26.8753, 26.837600000000002
AU Mic b, 8.4630062, 8.4629944, -1, -1, 0.28, 0.039999999999999994, 9.726725, 9.717474999999999
AU Mic b, -1, -1, -1, -1, -1, -1, 9.726725, 9.717474999999999
AU Mic b, -1, -1, -1, -1, -1, -1, 9.726725, 9.717474999999999
AU Mic b, 8.46325, 8.46317, -1, -1, 0.27, 0.010000000000000009, 9.726725, 9.717474999999999
AU Mic b, -1, -1, 21.8, 12.600000000000001, -1, -1, 9.726725, 9.717474999999999
AU Mic b, 8.463002, 8.462997999999999, 16.7, 6.699999999999999, 0.08499999999999999, 0.015, 9.726725, 9.717474999999999
AU Mic b, 8.463002, 8.462997999999999, 22.0, 12.0, -1, -1, 9.726725, 9.717474999999999
AU Mic b, 8.46314, 8.46302, -1, -1, 0.00678, 0.00476, 9.726725, 9.717474999999999
AU Mic b, -1, -1, 21.69, 18.400000000000002, 0.222, 0.151, 9.726725, 9.717474999999999
AU Mic b, -1, -1, 14.1, 7.499999999999999, -1, -1, 9.726725, 9.717474999999999
